Date,Open,High,Low,Close,Volume
31-Dec-99,108.671,108.982,106.121,107.365,2870300
30-Dec-99,109.169,109.977,108.049,108.236,3435100
29-Dec-99,109.915,109.977,108.236,108.485,2683300
28-Dec-99,109.044,110.226,108.547,109.293,4083100
27-Dec-99,109.169,109.48,107.614,109.231,3740700
23-Dec-99,108.609,109.915,107.676,108.111,4528700
22-Dec-99,109.355,109.791,107.489,107.489,4005600
21-Dec-99,107.987,109.604,107.552,109.604,4773500
20-Dec-99,108.547,109.915,107.24,108.687,4836300
17-Dec-99,110.164,110.537,108.111,109.48,7676800
16-Dec-99,107.489,109.169,105.25,108.671,7122300
15-Dec-99,107.24,107.427,104.006,106.494,9437900
14-Dec-99,109.666,109.666,106.37,108.733,7437900
13-Dec-99,107.614,112.217,106.059,109.184,7135200
10-Dec-99,111.097,111.408,107.054,108.485,12588800
9-Dec-99,119.93,121.548,111.719,112.839,16643000
8-Dec-99,115.70,120.428,114.954,117.722,8139800
7-Dec-99,116.447,118.624,114.892,116.074,11326100
6-Dec-99,112.466,115.949,111.968,115.451,9928300
3-Dec-99,109.293,112.341,107.427,111.346,14680300
2-Dec-99,102.948,105.81,102.886,104.768,6216900
1-Dec-99,102.078,103.944,101.767,102.933,5336400
30-Nov-99,103.197,104.006,101.642,102.575,5758700
29-Nov-99,104.441,104.441,102.886,103.695,5677700
26-Nov-99,105.437,105.499,103.633,104.504,3108400
24-Nov-99,104.504,104.504,101.331,104.006,9710400
23-Nov-99,108.298,109.355,105.499,105.561,10665200
22-Nov-99,105.001,107.925,103.944,107.365,13681600
19-Nov-99,98.5319,104.628,97.9098,103.446,19678400
18-Nov-99,93.5555,97.7854,93.1201,97.5366,18720500
17-Nov-99,94.4264,94.4264,92.187,93.3067,8355100
16-Nov-99,94.1776,94.5508,92.5602,94.1776,8537400
15-Nov-99,95.5461,95.9193,93.4311,93.6177,6259400
12-Nov-99,95.5461,95.7949,92.5602,95.4217,9668400
11-Nov-99,97.039,97.039,94.4264,94.5508,7147500
10-Nov-99,94.1776,96.6035,93.6799,96.5413,8680300
9-Nov-99,94.613,95.0484,91.6894,93.1823,9551200
8-Nov-99,90.0721,93.4933,90.0721,93.4933,8522300
5-Nov-99,92.3113,92.4979,89.7609,89.8231,13737600
4-Nov-99,93.9908,93.9908,89.5743,91.1294,16697600
3-Nov-99,95.4215,95.4837,93.0578,93.9286,10369100
2-Nov-99,96.2924,96.3546,93.2444,94.364,11105400
1-Nov-99,98.0341,98.3451,95.9192,96.2924,9551800
29-Oct-99,96.5412,98.5317,95.7948,97.7853,11078500
28-Oct-99,94.053,94.8617,93.8042,94.4885,9446700
27-Oct-99,95.0483,95.1105,92.3735,92.5601,9871400
26-Oct-99,94.4263,95.5459,94.1774,95.0483,11367400
25-Oct-99,93.8042,94.6751,91.6893,93.431,13765400
22-Oct-99,93.3066,94.1774,92.0625,93.4932,26668700
21-Oct-99,92.5601,92.5601,88.579,90.5696,69444700
20-Oct-99,108.111,112.528,106.494,106.494,11376700
19-Oct-99,106.494,107.987,104.939,106.618,9184700
18-Oct-99,107.489,108.484,104.192,106.494,9678300
15-Oct-99,105.934,108.36,103.384,107.365,13920700
14-Oct-99,105.996,106.743,104.192,106.494,14178500
13-Oct-99,110.288,110.351,104.503,104.566,15015000
12-Oct-99,113.461,114.332,109.48,109.48,8274900
11-Oct-99,112.963,116.136,112.59,113.71,7827100
8-Oct-99,114.456,114.518,110.537,112.963,17867900
7-Oct-99,118.562,118.624,114.518,115.825,14240000
6-Oct-99,121.672,122.169,118.499,118.624,8054900
5-Oct-99,121.423,122.667,118.499,121.423,6435700
4-Oct-99,117.442,119.432,116.198,119.308,7042000
1-Oct-99,120.428,120.49,114.954,117.193,10558900
30-Sep-99,120.428,121.672,119.059,120.428,6642500
29-Sep-99,121.485,122.232,119.432,119.495,8775600
28-Sep-99,122.418,124.16,121.112,122.916,7103400
27-Sep-99,126.026,126.213,120.801,122.418,7075100
24-Sep-99,119.93,124.409,119.868,124.409,7450800
23-Sep-99,126.897,127.208,120.863,121.423,7590000
22-Sep-99,126.586,126.648,123.787,124.595,8091900
21-Sep-99,128.141,129.012,125.653,126.524,6983600
20-Sep-99,125.902,130.256,125.404,129.51,7543000
17-Sep-99,130.754,130.816,123.165,124.782,14857800
16-Sep-99,131.376,131.749,128.95,129.385,6092600
15-Sep-99,133.366,134.361,131.313,131.313,5655400
14-Sep-99,131.376,132.931,131.313,132.682,4590700
13-Sep-99,133.988,134.921,131.376,131.749,4442300
10-Sep-99,136.85,137.036,133.739,134.361,5089300
9-Sep-99,131.873,135.854,131.002,134.113,8423100
8-Sep-99,130.878,133.304,130.069,130.132,7206100
7-Sep-99,128.265,132.06,127.768,131.376,7552900
3-Sep-99,127.768,129.136,127.395,128.25,5282900
2-Sep-99,125.902,126.15,123.662,125.28,5583100
1-Sep-99,125.031,127.892,124.906,126.648,6264400
31-Aug-99,123.787,125.404,122.294,123.973,6214400
30-Aug-99,123.662,125.031,122.107,122.605,4773000
27-Aug-99,124.409,124.595,122.169,123.413,4354600
26-Aug-99,122.045,125.28,121.485,122.356,6245300
25-Aug-99,121.423,123.476,120.303,121.796,6463000
24-Aug-99,122.791,123.04,120.428,121.423,8442100
23-Aug-99,122.169,124.284,121.734,123.849,6043500
20-Aug-99,123.787,123.787,120.49,121.174,5962000
19-Aug-99,123.289,124.284,120.677,122.356,7583300
18-Aug-99,127.768,129.012,122.916,123.289,6607000
17-Aug-99,127.892,127.954,125.964,127.892,5136400
16-Aug-99,124.409,127.27,123.911,126.773,4889000
13-Aug-99,122.169,123.911,121.423,122.791,4400400
12-Aug-99,123.165,123.227,120.428,120.552,5027800
11-Aug-99,119.557,123.165,119.246,122.729,5543000
10-Aug-99,120.925,121.921,118.375,118.748,5846200
9-Aug-99,123.04,123.849,120.552,121.61,4048100
6-Aug-99,121.423,126.399,120.428,122.916,6142600
5-Aug-99,119.432,123.413,117.006,122.605,7364500
4-Aug-99,119.432,121.298,117.504,117.939,5754800
3-Aug-99,122.169,122.543,117.628,118.81,6855900
2-Aug-99,123.413,125.404,121.236,121.672,4565100
30-Jul-99,125.342,126.088,123.787,125.093,4324900
29-Jul-99,125.653,126.026,124.035,124.782,5707500
28-Jul-99,125.777,128.079,125.217,127.768,5287600
27-Jul-99,124.409,125.902,122.978,125.653,6513500
26-Jul-99,123.04,124.533,122.169,122.418,5519900
23-Jul-99,123.413,124.844,122.045,124.222,6964200
22-Jul-99,127.021,127.892,122.916,123.289,8869100
21-Jul-99,126.897,129.136,126.275,128.39,8792300
20-Jul-99,131.376,131.50,125.466,127.643,14307400
19-Jul-99,135.854,138.218,133.055,133.988,7626500
16-Jul-99,135.73,136.85,134.735,135.605,5123100
15-Jul-99,137.347,137.472,133.864,135.668,5583600
14-Jul-99,137.658,137.845,135.543,136.601,4724000
13-Jul-99,135.108,138.529,135.108,137.223,5645700
12-Jul-99,136.787,138.031,134.735,137.161,5046900
9-Jul-99,133.366,136.787,133.242,136.725,4795900
8-Jul-99,131.873,134.859,131.50,133.366,6092900
7-Jul-99,130.38,132.868,130.007,132.184,6648900
6-Jul-99,131.873,133.242,130.194,130.38,5709300
2-Jul-99,130.256,131.624,128.887,131.624,3543600
1-Jul-99,129.385,130.691,127.394,130.38,5911600
30-Jun-99,124.222,131.376,123.787,128.639,8257300
29-Jun-99,122.418,124.72,122.169,124.035,5223800
28-Jun-99,123.413,124.098,121.609,121.983,6233300
25-Jun-99,122.729,125.155,122.543,122.543,4563600
24-Jun-99,122.543,123.849,120.987,121.983,5231200
23-Jun-99,121.672,123.60,121.174,122.356,4418800
22-Jun-99,123.289,127.146,122.418,122.791,6791300
21-Jun-99,122.294,125.155,122.045,124.16,6466300
18-Jun-99,119.619,120.863,119.183,120.179,9159600
17-Jun-99,118.686,121.423,118.437,119.619,4675900
16-Jun-99,119.308,120.925,118.313,120.117,6963100
15-Jun-99,116.944,117.753,114.207,115.327,4884900
14-Jun-99,115.327,115.451,113.461,114.954,4896700
11-Jun-99,114.518,115.949,112.03,113.772,4295200
10-Jun-99,115.327,116.198,112.776,114.705,4851500
9-Jun-99,116.073,120.303,116.011,116.446,5569600
8-Jun-99,119.308,119.308,115.513,116.073,7395400
7-Jun-99,117.566,121.112,116.944,119.93,6663900
4-Jun-99,113.087,115.451,111.906,115.451,5258800
3-Jun-99,114.021,114.767,111.035,112.403,5112600
2-Jun-99,111.221,114.083,108.92,113.212,7005000
1-Jun-99,113.087,113.336,110.661,111.47,7158500
28-May-99,115.451,116.198,113.647,115.451,6379500
27-May-99,116.135,116.322,112.092,115.451,10552500
26-May-99,110.973,117.753,110.195,117.566,8314000
25-May-99,110.724,112.465,109.977,110.071,4702500
24-May-99,114.611,114.798,110.35,111.346,4299100
21-May-99,115.824,116.135,114.052,114.643,3449900
20-May-99,117.255,117.628,115.70,115.887,3220900
19-May-99,118.561,118.81,115.98,117.38,3895800
18-May-99,118.561,119.743,117.939,118.686,4316900
17-May-99,117.442,119.246,115.451,118.188,5780200
14-May-99,120.179,121.174,117.442,119.059,9036900
13-May-99,116.446,122.418,116.446,122.418,12165700
12-May-99,110.039,113.678,107.24,112.217,6033400
11-May-99,109.728,110.413,108.236,109.977,4186400
10-May-99,108.111,110.413,108.018,108.795,4774200
7-May-99,105.125,108.236,105.032,108.111,4993400
6-May-99,105.436,106.494,103.508,104.13,4169800
5-May-99,105.561,105.747,103.166,105.561,4236200
4-May-99,105.623,107.427,105.187,105.498,5566200
3-May-99,103.508,105.623,102.668,105.623,4516100
30-Apr-99,103.757,105.001,101.237,104.099,4515500
29-Apr-99,102.015,104.006,101.237,101.922,5639600
28-Apr-99,104.13,104.752,101.269,102.015,5670900
27-Apr-99,105.498,107.116,103.757,105.498,10464600
26-Apr-99,101.891,104.876,100.678,104.441,9333000
23-Apr-99,96.23,102.793,96.0123,99.4024,10375500
22-Apr-99,98.1583,98.9048,95.8879,96.7898,19584900
21-Apr-99,84.4734,85.5308,82.1718,85.5308,6580800
20-Apr-99,83.1049,84.4734,81.1143,84.4734,7358000
19-Apr-99,85.0332,85.7486,81.6431,82.9805,7691800
16-Apr-99,88.33,88.33,84.66,84.7844,5964400
15-Apr-99,89.3253,89.3253,86.3395,88.4544,4165200
14-Apr-99,90.9426,91.5025,88.3922,89.2631,3630500
13-Apr-99,91.5647,91.5647,89.543,89.5741,3423200
12-Apr-99,91.3158,91.378,90.1029,91.2847,4489900
9-Apr-99,92.3733,93.5863,91.5647,92.7154,3055900
8-Apr-99,92.5599,93.5863,90.7249,93.0576,4265500
7-Apr-99,91.5647,93.3686,89.1076,92.8087,5831000
6-Apr-99,91.1292,92.9332,90.6627,91.067,4371400
5-Apr-99,89.0765,91.5336,88.8588,91.5336,4619200
1-Apr-99,88.2367,88.4233,86.9304,88.0812,2655400
31-Mar-99,89.5741,90.3206,87.8324,88.2056,2917600
