temps	chemin
-2.65E-7	3.99192E-2
1.688E-6	4.5965E-2
3.641E-6	-6.15126E-2
5.594E-6	1.86833E-2
7.548E-6	6.50747E-2
9.501E-6	8.60896E-2
1.1454E-5	4.08639E-2
1.3407E-5	3.2872E-1
1.536E-5	4.84251E-1
1.7313E-5	4.17199E-1
1.9266E-5	3.58735E-1
2.1219E-5	3.67749E-1
2.3172E-5	3.84431E-1
2.5126E-5	4.1498E-1
2.7079E-5	4.54381E-1
2.9032E-5	4.89837E-1
3.0985E-5	5.40099E-1
3.2938E-5	5.14323E-1
3.4891E-5	5.53583E-1
3.6844E-5	4.78782E-1
3.8797E-5	5.06712E-1
4.0751E-5	5.62726E-1
4.2704E-5	5.47908E-1
4.4657E-5	5.75579E-1
4.661E-5	8.2205E-1
4.8563E-5	7.99317E-1
5.0516E-5	6.38026E-1
5.247E-5	7.60804E-1
5.4423E-5	9.27872E-1
5.6376E-5	8.05705E-1
5.8329E-5	8.49627E-1
6.0282E-5	7.44744E-1
6.2235E-5	7.99638E-1
6.4188E-5	8.24207E-1
6.6141E-5	9.18189E-1
6.8094E-5	9.48126E-1
7.0048E-5	8.97513E-1
7.2001E-5	7.31004E-1
7.3954E-5	8.80941E-1
7.5907E-5	8.0244E-1
7.786E-5	9.10909E-1
7.9813E-5	1.06152E0
8.1766E-5	1.02245E0
8.3719E-5	1.23535E0
8.5673E-5	1.10839E0
8.7626E-5	1.04083E0
8.9579E-5	1.05473E0
9.1532E-5	1.10614E0
9.3485E-5	1.12049E0
9.5438E-5	1.02772E0
9.7391E-5	1.17184E0
9.9344E-5	1.18726E0
1.01298E-4	1.12822E0
1.03251E-4	1.08412E0
1.05204E-4	1.09154E0
1.07157E-4	1.0814E0
1.0911E-4	1.17015E0
1.11063E-4	1.11273E0
1.13016E-4	1.12065E0
1.14969E-4	1.47714E0
1.16923E-4	1.50283E0
1.18876E-4	1.50705E0
1.20829E-4	1.49971E0
1.22782E-4	1.58149E0
1.24735E-4	1.53628E0
1.26688E-4	1.50747E0
1.28641E-4	1.53023E0
