01.11.2007 18:53
45 Messungen
5 Wiederholungen






Amplitude Frequenz Q-Faktor Strom Temperatur

6.53334 14774.2 2716.82 0 33.45
6.53837 15209.1 2792.19 0 33.45
6.53964 14773.9 2708.91 0 33.45
6.53341 14774.2 2705.58 0 33.45
6.53332 14774.5 2726.29 0 33.15
6.53314 14775.7 2713.36 0.035 33.15
6.5333 14775.5 2717.46 0.035 32.85
6.53535 14775.8 2723.02 0.035 33.15
6.53652 14775 2714.29 0.035 33.15
6.5379 14774.2 2721.76 0.035 33.15
6.53835 14777.4 2712.58 0.07 33.15
6.5383 14777.3 2728.21 0.07 33.15
6.5392 14777.3 2711.67 0.07 33.15
6.55206 14777.2 2718.31 0.07 33.15
6.5418 14777.3 2730.53 0.07 33.15
6.54105 14782.6 2719.26 0.105 33.15
6.54106 14782.6 2727.62 0.105 33.15
6.54287 14782.4 2716.87 0.105 33.15
6.54321 14782.3 2714.86 0.105 33.15
6.54319 14782.1 2727.9 0.105 33.15
6.54284 14790.2 2723.96 0.14 33.15
6.54257 14791.1 2723.17 0.14 32.85
6.54288 14791.4 2721 0.14 33.15
6.54348 14791.2 2726.44 0.14 33.15
6.54484 14791 2725.81 0.14 33.15
6.54032 14802 2730.42 0.175 32.85
6.54604 14801.8 2731.09 0.175 32.85
6.54876 14802.1 2725.51 0.175 33.15
6.54624 14801.6 2725.68 0.175 33.15
6.54936 14801.6 2735.42 0.175 33.15
6.55016 14808.7 2728.29 0.195 32.85
6.54736 14808.9 2730.36 0.195 33.15
6.54648 14808.5 2727.8 0.195 33.15
6.54648 14808.8 2730.66 0.195 32.85
6.54624 14809.3 2732.23 0.195 32.85
6.54011 14817.4 2731.74 0.215 32.85
6.54099 14817.2 2734.49 0.215 32.85
6.54042 14817.7 2734.77 0.215 32.85
6.54193 14818.3 2734.04 0.215 32.55
6.54315 14818.8 2734.25 0.215 32.55
6.52893 14829.7 2725.41 0.235 32.25
6.52944 14829.5 2727.45 0.235 32.55
6.5302 14829.1 2730.91 0.235 32.55
6.52981 14829.3 2730.57 0.235 32.55
